timestamp, utilization.gpu [%], utilization.memory [%], pstate
2025/12/30 17:58:06.709, 38 %, 19 %, P5
2025/12/30 17:58:07.716, 37 %, 20 %, P5
2025/12/30 17:58:08.716, 38 %, 20 %, P5
2025/12/30 17:58:09.716, 34 %, 20 %, P2
2025/12/30 17:58:10.716, 12 %, 3 %, P2
2025/12/30 17:58:11.716, 10 %, 2 %, P2
2025/12/30 17:58:12.716, 100 %, 71 %, P2
2025/12/30 17:58:13.716, 17 %, 2 %, P2
2025/12/30 17:58:14.717, 13 %, 2 %, P2
2025/12/30 17:58:15.717, 15 %, 2 %, P2
2025/12/30 17:58:16.717, 17 %, 2 %, P2
2025/12/30 17:58:17.717, 14 %, 2 %, P2
2025/12/30 17:58:18.717, 15 %, 2 %, P2
2025/12/30 17:58:19.717, 10 %, 2 %, P2
2025/12/30 17:58:20.718, 17 %, 3 %, P2
2025/12/30 17:58:21.718, 13 %, 2 %, P2
2025/12/30 17:58:22.718, 13 %, 2 %, P2
2025/12/30 17:58:23.718, 13 %, 2 %, P2
2025/12/30 17:58:24.718, 14 %, 2 %, P2
2025/12/30 17:58:25.718, 15 %, 2 %, P2
2025/12/30 17:58:26.719, 9 %, 2 %, P2
2025/12/30 17:58:27.719, 100 %, 68 %, P2
2025/12/30 17:58:28.719, 17 %, 2 %, P2
2025/12/30 17:58:29.719, 14 %, 2 %, P2
2025/12/30 17:58:30.719, 17 %, 2 %, P2
2025/12/30 17:58:31.719, 15 %, 2 %, P2
2025/12/30 17:58:32.719, 16 %, 2 %, P2
2025/12/30 17:58:33.720, 9 %, 2 %, P2
2025/12/30 17:58:34.720, 100 %, 77 %, P2
2025/12/30 17:58:35.720, 16 %, 2 %, P2
2025/12/30 17:58:36.720, 13 %, 2 %, P2
2025/12/30 17:58:37.720, 16 %, 2 %, P2
2025/12/30 17:58:38.720, 17 %, 2 %, P2
2025/12/30 17:58:39.721, 16 %, 2 %, P2
2025/12/30 17:58:40.721, 9 %, 2 %, P2
2025/12/30 17:58:41.721, 84 %, 63 %, P2
2025/12/30 17:58:42.721, 13 %, 2 %, P2
2025/12/30 17:58:43.721, 13 %, 2 %, P2
2025/12/30 17:58:44.721, 13 %, 2 %, P2
2025/12/30 17:58:45.722, 15 %, 2 %, P2
2025/12/30 17:58:46.722, 16 %, 2 %, P2
2025/12/30 17:58:47.722, 16 %, 2 %, P2
2025/12/30 17:58:48.722, 9 %, 2 %, P2
2025/12/30 17:58:49.722, 51 %, 28 %, P2
2025/12/30 17:58:50.722, 14 %, 2 %, P2
2025/12/30 17:58:51.723, 14 %, 2 %, P2
2025/12/30 17:58:52.723, 13 %, 2 %, P2
2025/12/30 17:58:53.723, 16 %, 2 %, P2
2025/12/30 17:58:54.723, 17 %, 2 %, P2
2025/12/30 17:58:55.723, 10 %, 2 %, P2
2025/12/30 17:58:56.724, 100 %, 62 %, P2
2025/12/30 17:58:57.724, 15 %, 3 %, P2
2025/12/30 17:58:58.725, 13 %, 2 %, P2
2025/12/30 17:58:59.725, 13 %, 2 %, P2
2025/12/30 17:59:00.725, 17 %, 3 %, P2
2025/12/30 17:59:01.725, 14 %, 2 %, P2
2025/12/30 17:59:02.725, 8 %, 2 %, P2
2025/12/30 17:59:03.725, 10 %, 2 %, P2
2025/12/30 17:59:04.726, 12 %, 2 %, P2
2025/12/30 17:59:05.726, 15 %, 2 %, P2
2025/12/30 17:59:06.726, 17 %, 3 %, P2
2025/12/30 17:59:07.726, 14 %, 2 %, P2
2025/12/30 17:59:08.727, 13 %, 2 %, P2
2025/12/30 17:59:09.727, 13 %, 2 %, P2
2025/12/30 17:59:10.727, 10 %, 2 %, P2
2025/12/30 17:59:11.727, 100 %, 64 %, P2
2025/12/30 17:59:12.728, 14 %, 2 %, P2
2025/12/30 17:59:13.728, 15 %, 2 %, P2
2025/12/30 17:59:14.729, 15 %, 3 %, P2
2025/12/30 17:59:15.729, 14 %, 2 %, P2
2025/12/30 17:59:16.729, 15 %, 2 %, P2
2025/12/30 17:59:17.729, 18 %, 2 %, P2
2025/12/30 17:59:18.729, 10 %, 2 %, P2
2025/12/30 17:59:19.729, 13 %, 2 %, P2
2025/12/30 17:59:20.729, 13 %, 2 %, P2
2025/12/30 17:59:21.730, 13 %, 2 %, P2
2025/12/30 17:59:22.730, 13 %, 2 %, P2
2025/12/30 17:59:23.731, 13 %, 2 %, P2
2025/12/30 17:59:24.731, 16 %, 2 %, P2
2025/12/30 17:59:25.731, 20 %, 2 %, P2
2025/12/30 17:59:26.731, 8 %, 2 %, P2
2025/12/30 17:59:27.731, 100 %, 78 %, P2
2025/12/30 17:59:28.731, 15 %, 2 %, P2
2025/12/30 17:59:29.732, 16 %, 2 %, P2
2025/12/30 17:59:30.732, 15 %, 2 %, P2
2025/12/30 17:59:31.732, 17 %, 2 %, P2
2025/12/30 17:59:32.732, 17 %, 2 %, P2
2025/12/30 17:59:33.732, 17 %, 2 %, P2
2025/12/30 17:59:34.732, 13 %, 2 %, P2
2025/12/30 17:59:35.733, 9 %, 2 %, P2
2025/12/30 17:59:36.733, 100 %, 75 %, P2
2025/12/30 17:59:37.733, 21 %, 3 %, P2
2025/12/30 17:59:38.734, 18 %, 2 %, P2
2025/12/30 17:59:39.734, 20 %, 2 %, P2
2025/12/30 17:59:40.734, 21 %, 2 %, P2
2025/12/30 17:59:41.734, 18 %, 2 %, P2
2025/12/30 17:59:42.734, 17 %, 2 %, P2
2025/12/30 17:59:43.735, 16 %, 2 %, P2
2025/12/30 17:59:44.735, 9 %, 2 %, P2
2025/12/30 17:59:45.736, 100 %, 83 %, P2
2025/12/30 17:59:46.736, 16 %, 2 %, P2
2025/12/30 17:59:47.736, 17 %, 2 %, P2
2025/12/30 17:59:48.736, 15 %, 2 %, P2
2025/12/30 17:59:49.736, 18 %, 2 %, P2
2025/12/30 17:59:50.736, 15 %, 2 %, P2
2025/12/30 17:59:51.737, 18 %, 2 %, P2
